algorytm,zrodlo,cel,zaakceptowane,trasa_podstawowa,trasa_zabezpieczajaca,dlugosc_podstawowa,dlugosc_zabezpieczajaca,laczna_liczba_laczy,powod_odrzucenia
naiwny,1,2,True,1 - 2,1 - 4 - 2,1,2,3,
suurballe,1,2,True,1 - 2,1 - 4 - 2,1,2,3,
naiwny,1,3,True,1 - 2 - 5 - 10 - 3,1 - 4 - 2 - 9 - 7 - 10 - 17 - 13 - 3,4,8,12,
suurballe,1,3,True,1 - 2 - 5 - 10 - 3,1 - 4 - 6 - 9 - 14 - 16 - 17 - 13 - 3,4,8,12,
naiwny,1,4,True,1 - 4,1 - 2 - 4,1,2,3,
suurballe,1,4,True,1 - 4,1 - 2 - 4,1,2,3,
naiwny,1,5,True,1 - 2 - 5,1 - 4 - 2 - 9 - 7 - 5,2,5,7,
suurballe,1,5,True,1 - 2 - 5,1 - 4 - 6 - 9 - 7 - 5,2,5,7,
naiwny,1,6,True,1 - 4 - 6,1 - 2 - 9 - 6,2,3,5,
suurballe,1,6,True,1 - 4 - 6,1 - 2 - 9 - 6,2,3,5,
naiwny,1,7,True,1 - 2 - 9 - 7,1 - 4 - 2 - 5 - 7,3,4,7,
suurballe,1,7,True,1 - 2 - 9 - 7,1 - 4 - 2 - 5 - 7,3,4,7,
naiwny,1,8,True,1 - 4 - 8,1 - 2 - 4 - 6 - 8,2,4,6,
suurballe,1,8,True,1 - 4 - 8,1 - 2 - 9 - 6 - 8,2,4,6,
naiwny,1,9,True,1 - 2 - 9,1 - 4 - 6 - 9,2,3,5,
suurballe,1,9,True,1 - 2 - 9,1 - 4 - 6 - 9,2,3,5,
naiwny,1,10,True,1 - 2 - 5 - 10,1 - 4 - 2 - 9 - 7 - 10,3,5,8,
suurballe,1,10,True,1 - 2 - 5 - 10,1 - 4 - 6 - 9 - 7 - 10,3,5,8,
naiwny,1,11,True,1 - 2 - 9 - 7 - 11,1 - 4 - 2 - 5 - 10 - 11,4,5,9,
suurballe,1,11,True,1 - 2 - 9 - 7 - 11,1 - 4 - 2 - 5 - 10 - 11,4,5,9,
naiwny,1,12,True,1 - 2 - 9 - 12,1 - 4 - 6 - 12,3,3,6,
suurballe,1,12,True,1 - 2 - 9 - 12,1 - 4 - 6 - 12,3,3,6,
naiwny,1,13,True,1 - 2 - 5 - 10 - 3 - 13,1 - 4 - 2 - 9 - 7 - 10 - 17 - 13,5,7,12,
suurballe,1,13,True,1 - 2 - 5 - 10 - 3 - 13,1 - 4 - 6 - 9 - 14 - 16 - 17 - 13,5,7,12,
naiwny,1,14,True,1 - 2 - 9 - 14,1 - 4 - 2 - 5 - 7 - 11 - 16 - 14,3,7,10,
suurballe,1,14,True,1 - 2 - 9 - 14,1 - 4 - 6 - 9 - 7 - 11 - 16 - 14,3,7,10,
naiwny,1,15,True,1 - 4 - 8 - 15,1 - 2 - 9 - 12 - 15,3,4,7,
suurballe,1,15,True,1 - 4 - 8 - 15,1 - 2 - 9 - 12 - 15,3,4,7,
naiwny,1,16,True,1 - 2 - 9 - 14 - 16,1 - 4 - 2 - 5 - 7 - 11 - 16,4,6,10,
suurballe,1,16,True,1 - 2 - 9 - 14 - 16,1 - 4 - 6 - 9 - 7 - 11 - 16,4,6,10,
naiwny,1,17,True,1 - 2 - 5 - 10 - 17,1 - 4 - 2 - 9 - 14 - 16 - 17,4,6,10,
suurballe,1,17,True,1 - 2 - 5 - 10 - 17,1 - 4 - 6 - 9 - 14 - 16 - 17,4,6,10,
naiwny,1,18,True,1 - 2 - 5 - 10 - 17 - 18,1 - 4 - 2 - 9 - 7 - 10 - 3 - 13 - 18,5,8,13,
suurballe,1,18,True,1 - 2 - 5 - 10 - 17 - 18,1 - 4 - 6 - 9 - 14 - 16 - 17 - 13 - 18,5,8,13,
naiwny,1,19,True,1 - 2 - 5 - 10 - 17 - 19,1 - 4 - 2 - 9 - 14 - 16 - 21 - 19,5,7,12,
suurballe,1,19,True,1 - 2 - 5 - 10 - 17 - 19,1 - 4 - 6 - 9 - 14 - 16 - 21 - 19,5,7,12,
naiwny,1,20,True,1 - 2 - 5 - 10 - 17 - 19 - 20,1 - 4 - 2 - 9 - 14 - 16 - 17 - 18 - 20,6,8,14,
suurballe,1,20,True,1 - 2 - 5 - 10 - 17 - 19 - 20,1 - 4 - 6 - 9 - 14 - 16 - 17 - 18 - 20,6,8,14,
naiwny,1,21,True,1 - 2 - 9 - 14 - 16 - 21,1 - 4 - 2 - 5 - 10 - 17 - 21,5,6,11,
suurballe,1,21,True,1 - 2 - 9 - 14 - 16 - 21,1 - 4 - 2 - 5 - 10 - 17 - 21,5,6,11,
naiwny,2,3,True,2 - 5 - 10 - 3,2 - 9 - 7 - 10 - 17 - 13 - 3,3,6,9,
suurballe,2,3,True,2 - 5 - 10 - 3,2 - 9 - 14 - 16 - 17 - 13 - 3,3,6,9,
naiwny,2,4,True,2 - 4,2 - 1 - 4,1,2,3,
suurballe,2,4,True,2 - 4,2 - 1 - 4,1,2,3,
naiwny,2,5,True,2 - 5,2 - 9 - 7 - 5,1,3,4,
